trip_id,arrival_time,departure_time,stop_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday
724949928,14:16:55,14:16:55,26080,0,1,1,1,0,0,0
686404508,14:25:16,14:25:16,26080,0,0,0,0,0,1,0
686382738,14:27:16,14:27:16,26080,0,0,0,0,0,0,1
724950388,14:32:34,14:32:34,26080,0,1,1,1,0,0,0
686403458,14:40:16,14:40:16,26080,0,0,0,0,0,1,0
686381268,14:42:16,14:42:16,26080,0,0,0,0,0,0,1
729861708,14:48:16,14:48:16,26080,0,0,1,0,0,0,0
724948868,14:49:34,14:49:34,26080,0,1,1,1,0,0,0
686404518,14:55:16,14:55:16,26080,0,0,0,0,0,1,0
686381328,14:57:16,14:57:16,26080,0,0,0,0,0,0,1
724950498,15:06:34,15:06:34,26080,0,1,1,1,0,0,0
686403468,15:10:16,15:10:16,26080,0,0,0,0,0,1,0
686381398,15:12:16,15:12:16,26080,0,0,0,0,0,0,1
724949458,15:22:34,15:22:34,26080,0,1,1,1,0,0,0
686404528,15:25:16,15:25:16,26080,0,0,0,0,0,1,0
686382698,15:27:16,15:27:16,26080,0,0,0,0,0,0,1
724950348,15:37:34,15:37:34,26080,0,1,1,1,0,0,0
686403478,15:40:16,15:40:16,26080,0,0,0,0,0,1,0
686381418,15:42:16,15:42:16,26080,0,0,0,0,0,0,1
724950048,15:54:34,15:54:34,26080,0,1,1,1,0,0,0
686404538,15:56:16,15:56:16,26080,0,0,0,0,0,1,0
686381118,15:58:16,15:58:16,26080,0,0,0,0,0,0,1
729861698,15:58:35,15:58:35,26080,0,1,0,1,1,0,0
686403488,16:11:16,16:11:16,26080,0,0,0,0,0,1,0
724948468,16:11:34,16:11:34,26080,0,1,1,1,0,0,0
686381138,16:13:16,16:13:16,26080,0,0,0,0,0,0,1
686404548,16:27:16,16:27:16,26080,0,0,0,0,0,1,0
724948328,16:27:34,16:27:34,26080,0,1,1,1,0,0,0
686382648,16:28:16,16:28:16,26080,0,0,0,0,0,0,1
686403498,16:42:16,16:42:16,26080,0,0,0,0,0,1,0
686381228,16:43:16,16:43:16,26080,0,0,0,0,0,0,1
724948968,16:43:34,16:43:34,26080,0,1,1,1,0,0,0
686404558,16:58:16,16:58:16,26080,0,0,0,0,0,1,0
686381048,16:58:16,16:58:16,26080,0,0,0,0,0,0,1
724950448,16:58:34,16:58:34,26080,0,1,1,1,0,0,0
686403508,17:13:16,17:13:16,26080,0,0,0,0,0,1,0
724948448,17:13:34,17:13:34,26080,0,1,1,1,0,0,0
686381038,17:14:16,17:14:16,26080,0,0,0,0,0,0,1
686404568,17:28:16,17:28:16,26080,0,0,0,0,0,1,0
724949748,17:28:34,17:28:34,26080,0,1,1,1,0,0,0
686382808,17:29:16,17:29:16,26080,0,0,0,0,0,0,1
686403518,17:43:16,17:43:16,26080,0,0,0,0,0,1,0
724950008,17:43:34,17:43:34,26080,0,1,1,1,0,0,0
686381068,17:44:16,17:44:16,26080,0,0,0,0,0,0,1
