trip_id,stop_id,arrival_time,departure_time,stopNumber
686405448,26080,05:37:37,05:37:37,30
686405458,26080,06:07:37,06:07:37,30
686404368,26080,06:37:37,06:37:37,30
686404388,26080,07:07:37,07:07:37,30
686405558,26080,07:27:37,07:27:37,30
686403328,26080,07:47:37,07:47:37,30
686404378,26080,08:11:37,08:11:37,30
686403338,26080,08:31:37,08:31:37,30
686404398,26080,08:46:37,08:46:37,30
686403348,26080,09:02:37,09:02:37,30
686404408,26080,09:17:37,09:17:37,30
686403358,26080,09:32:37,09:32:37,30
686404418,26080,09:48:37,09:48:37,30
686403368,26080,10:06:37,10:06:37,30
686404428,26080,10:21:37,10:21:37,30
686403378,26080,10:37:16,10:37:16,30
686404438,26080,10:52:16,10:52:16,30
686403388,26080,11:07:16,11:07:16,30
686404448,26080,11:23:16,11:23:16,30
686403398,26080,11:39:16,11:39:16,30
686404458,26080,11:56:16,11:56:16,30
686403408,26080,12:11:16,12:11:16,30
686404468,26080,12:27:16,12:27:16,30
686403418,26080,12:42:16,12:42:16,30
686404478,26080,12:57:16,12:57:16,30
686403428,26080,13:12:16,13:12:16,30
686404488,26080,13:26:16,13:26:16,30
686403438,26080,13:41:16,13:41:16,30
686404498,26080,13:55:16,13:55:16,30
686403448,26080,14:10:16,14:10:16,30
686404508,26080,14:25:16,14:25:16,30
686403458,26080,14:40:16,14:40:16,30
686404518,26080,14:55:16,14:55:16,30
686403468,26080,15:10:16,15:10:16,30
686404528,26080,15:25:16,15:25:16,30
686403478,26080,15:40:16,15:40:16,30
686404538,26080,15:56:16,15:56:16,30
686403488,26080,16:11:16,16:11:16,30
686404548,26080,16:27:16,16:27:16,30
686403498,26080,16:42:16,16:42:16,30
686404558,26080,16:58:16,16:58:16,30
686403508,26080,17:13:16,17:13:16,30
686404568,26080,17:28:16,17:28:16,30
686403518,26080,17:43:16,17:43:16,30
686404578,26080,17:58:16,17:58:16,30
686403528,26080,18:12:16,18:12:16,30
686404588,26080,18:26:16,18:26:16,30
686403538,26080,18:41:16,18:41:16,30
686403548,26080,19:01:16,19:01:16,30
686404598,26080,19:20:37,19:20:37,30
686403558,26080,19:36:37,19:36:37,30
686403568,26080,19:55:37,19:55:37,30
686404608,26080,20:15:37,20:15:37,30
686403578,26080,20:34:37,20:34:37,30
686405378,26080,20:53:37,20:53:37,30
686404618,26080,21:13:37,21:13:37,30
686404628,26080,21:43:37,21:43:37,30
686404638,26080,22:11:37,22:11:37,30
686403588,26080,22:41:37,22:41:37,30
686403598,26080,23:11:37,23:11:37,30
686404658,26080,23:38:37,23:38:37,30
686403608,26080,24:07:37,24:07:37,30
686404648,26080,24:37:37,24:37:37,30
692349618,26080,25:37:37,25:37:37,30
686412818,26080,26:32:37,26:32:37,30
686412828,26080,27:35:37,27:35:37,30
